Gene_name,Poor_M9_ATC5.rep1,Poor_M9_ATC5.rep2,Rich_LB_ATC12.rep1,Rich_LB_ATC12.rep2,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_ATC5_CAM1.2.rep1,Rich_M9_ATC5_CAM1.2.rep2,Rich_M9_ATC5_NOX.rep1,Rich_M9_ATC5_NOX.rep2,Rich_M9_ATC5_PH5.rep1,Rich_M9_ATC5_PH5.rep2,Rich_M9_ATC5_TMP.rep1,Rich_M9_ATC5_TMP.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
thrL,244.96,212.218,425.76,245.664,200.993,133.951,141.073,113.662,262.214,204.922,395.947,390.98,592.514,256.119,224.01,204.521,177.331,129.925,255.868,172.527
thrA,613.289,514.75,52.051,51.703,67.96,49.944,52.935,52.032,96.963,94.976,76.555,68.92,57.94,59.053,53.093,53.807,54.942,48.415,57.195,96.862
thrB,466.931,426.751,48.362,48.033,75.804,50.627,56.671,59.94,96.12,91.934,75.284,69.984,67.739,60.668,56.453,58.784,64.465,47.486,61.557,105.865
thrC,497.245,457.477,53.564,57.631,96.993,59.665,73.719,66.202,104.08,104.142,86.383,82.123,82.947,63.47,67.565,68.606,76.789,59.757,88.643,148.31
yaaX,36.923,32.752,24.196,16.276,41.319,25.685,25.745,19.996,21.918,27.687,17.698,16.1,17.839,17.744,15.234,17.65,41.206,17.895,25.251,28.919
yaaA,46.033,47.99,45.206,48.345,35.872,42.749,39.029,45.256,51.868,44.874,123.17,155.62,58.488,49.397,86.364,81.085,32.595,41.989,55.758,60.043
yaaJ,8.272,8.673,7.356,4.082,11.041,6.231,9.778,10.339,4.161,4.556,8.143,8.027,6.854,4.412,17.635,17.149,10.028,8.598,23.338,18.597
talB,657.142,641.26,918.708,827.72,569.227,713.616,727.296,780.881,806.895,799.921,716.78,706.268,1134.738,1011.023,949.76,954.867,544.942,659.253,956.676,1089.369
mog,49.413,38.51,96.519,98.566,83.567,65.64,65.551,65.207,85.056,84.553,67.55,67.861,98.044,109.666,92.014,83.691,81.848,57.574,73.589,87.31
satP,22.685,19.687,63.29,46.18,36.978,90.524,61.557,61.283,31.362,24.33,43.99,48.467,14.573,51.822,16.859,17.451,44.281,92.396,33.97,20.427
yaaW,2.512,3.127,1.968,0.74,1.044,1.167,1.967,1.35,1.631,2.197,2.604,2.964,3.931,1.88,2.365,3.579,1.224,1.689,1.587,2.643
mbiA,0.316,0.437,0.379,1.036,1.022,0.312,0,0.536,0.327,0.891,1.02,1.244,1.038,0.409,0.787,0.674,0.699,0.276,0.555,0.268
yaaI,0.127,0.919,0.398,0.062,1.472,0.936,0.514,0.322,0.915,0.668,1.898,0.882,1.947,0.368,1.023,1.456,0.839,0.882,1.066,0.964
dnaK,180.782,181.135,625.18,756.184,157.047,341.785,307.021,308.087,314.824,297.236,341.51,368.378,555.131,740.456,332.946,342.311,177.003,288.112,214.925,258.488
dnaJ,81.645,91.247,230.96,264.034,100.839,131.701,101.226,97.419,159.731,144.528,150.713,157.184,189.278,282.677,130.074,140.872,102.666,102.967,89.087,103.757
