Locus_tag	Gene_name	Gene_type	Poor_M9_ATC5.rep1	Poor_M9_ATC5.rep2	Rich_LB_ATC12.rep1	Rich_LB_ATC12.rep2	Rich_M9_ATC5_1.rep1	Rich_M9_ATC5_1.rep2	Rich_M9_ATC5_2.rep1	Rich_M9_ATC5_2.rep2	Rich_M9_ATC5_CAM1.2.rep1	Rich_M9_ATC5_CAM1.2.rep2	Rich_M9_ATC5_NOX.rep1	Rich_M9_ATC5_NOX.rep2	Rich_M9_ATC5_PH5.rep1	Rich_M9_ATC5_PH5.rep2	Rich_M9_ATC5_TMP.rep1	Rich_M9_ATC5_TMP.rep2	Rich_M9_No_ATC_1.rep1	Rich_M9_No_ATC_1.rep2	Rich_M9_No_ATC_2.rep1	Rich_M9_No_ATC_2.rep2
b0001	thrL	CDS	315.50	263.50	610	322	267	175	179	144	327	250	527	469.50	620	340	232	206	241	192	313	175
b0002	thrA	CDS	29477.50	23851.50	2783	2529	3369	2435	2506.50	2460	4512.50	4324	3802.50	3088.50	2262.50	2925.50	2052	2022.50	2786.50	2670	2611	3666.50
b0003	thrB	CDS	8501.50	7490.50	979.50	890	1423.50	935	1016.50	1073.50	1694.50	1585.50	1416.50	1188	1002	1138.50	826.50	837	1238.50	992	1064.50	1518
b0004	thrC	CDS	12488.50	11076.50	1496.50	1473	2512.50	1520	1824	1635.50	2531	2477.50	2242	1923	1692.50	1643	1364.50	1347.50	2035	1722	2114.50	2933.50
b0005	yaaX	CDS	214	183	156	96	247	151	147	114	123	152	106	87	84	106	71	80	252	119	139	132
b0006	yaaA	CDS	698	701.50	762.50	746	561	657.50	583	675	761.50	644.50	1930	2200	720.50	772	1053	961.50	521.50	730.50	803	717
b0007	yaaJ	CDS	231	233.50	228.50	116	318	176.50	269	284	112.50	120.50	235	209	155.50	127	396	374.50	295.50	275.50	619	409
b0008	talB	CDS	12234	11509	19026	15682	10930	13476	13339	14300	14545	14106	13790	12259	17163	19400	14218	13902	10705	14082	16916	15972
b0009	mog	CDS	567	426	1232	1151	989	764	741	736	945	919	801	726	914	1297	849	751	991	758	802	789
b0010	satP	CDS	251	210	779	520	422	1016	671	667	336	255	503	500	131	591	150	151	517	1173	357	178
b0011	yaaW	CDS	35	42	30.50	10.50	15	16.50	27	18.50	22	29	37.50	38.50	44.50	27	26.50	39	18	27	21	29
b0012	mbiA	CDS	3	4	4	10	10	3	0	5	3	8	10	11	8	4	6	5	7	3	5	2
b0013	yaaI	CDS	1	7	3.50	0.50	12	7.50	4	2.50	7	5	15.50	6.50	12.50	3	6.50	9	7	8	8	6
b0014	dnaK	CDS	6763	6532.50	26016.50	28788.50	6059.50	12969.50	11315	11337	11403.50	10532.50	13202.50	12848.50	16872	28550.50	10015.50	10014.50	6987	12366.50	7636.50	7615.50
b0015	dnaJ	CDS	1802	1941.50	5670.50	5930.50	2295.50	2948.50	2201	2115	3413.50	3021.50	3437.50	3234.50	3394	6430.50	2308.50	2431.50	2391	2607.50	1867.50	1803.50
b0016	insL-1	CDS	806.32	765.66	2054.97	1927.97	764.66	854.32	723.32	810.65	976.65	922.32	1109.82	990.65	900.99	2201.30	829.65	762.66	834.99	771.99	810.99	799.32
b0018	mokC	CDS	73.50	79	67.50	50	46	24.50	28	43	24.50	24.50	45.50	35.50	30	49.50	35.50	49.50	57.50	41.50	64	32
b0019	nhaA	CDS	2666.50	2912	1333.50	943.50	1960	1819.50	1825.50	1959.50	1117	1149	2044.50	1881.50	2080	1255.50	2405	2127	2112.50	2061	1453.50	1153.50
b0020	nhaR	CDS	1145.50	1129	470.50	375.50	956	791.50	661.50	752.50	559	568	879.50	780.50	954	490.50	969	916	1013.50	729	614.50	587.50
b0021	insB-1	CDS	33.08	27.06	58.56	38.87	166.03	45.70	45.64	32.76	61.45	53.55	85.60	76.26	74.44	58.71	61.93	56.11	171.93	53.60	64.84	49.95
b0022	insA-1	CDS	46.44	37.63	105.78	92.68	296.21	124.09	81.45	85.40	81.13	92.43	102.43	115.45	149.64	66.25	78.36	55.24	339.26	159.43	105.89	106.05
b0023	rpsT	CDS	12588	8493	65980	44772	26126	24409	19773	20524	24781	21691	23632	23907	27214	39284	15673	15363	33700	39197	20076	10180
b0024	yaaY	CDS	75	61	26.50	37.50	65.50	28	37.50	28	38	41.50	58	56.50	38.50	17	40	39	84	32.50	59.50	44.50
b0025	ribF	CDS	2466	2272	3013	2634.50	3235	2896	2672	2648.50	2792.50	2721.50	3549	3164	2932.50	2813	2733.50	2769	3567	3271	3197	2839.50
b0026	ileS	CDS	14489	13303.50	10594.50	10676.50	12824	13595	12789	13338	16500.50	15375	17187	14355	13236.50	11979.50	13121	12765	12431.50	12856	12024	13353.50
b0027	lspA	CDS	1943	2152.50	1840	1570.50	2258.50	2041	1730.50	1904.50	2417	2356	2531	2195.50	2024.50	2136.50	1940.50	1962	2109.50	2030.50	1849.50	1825.50
b0028	fkpB	CDS	1295	1137.50	1054	1077	1482	1214.50	960	1073.50	1390	1316	1457.50	1201	1448.50	1076	1288	1162.50	1558.50	1118.50	1098.50	1027
b0029	ispH	CDS	2159.50	1960.50	2063.50	1978.50	2486	1974.50	1776.50	1683.50	2597	2608	2352	2137.50	2355.50	2189.50	1934.50	1857.50	2428	1816	2001.50	2173
b0030	rihC	CDS	363.50	322	1154.50	1093.50	360	408	397.50	435	343	321	324.50	304.50	200	1406.50	276.50	319	428.50	367.50	678	671
b0031	dapB	CDS	2422	2411	1224	1034	1171	1123	1178	1285	1284	1226	1795	1521	1525	1221	1288	1282	1122	1284	1511	1323
b0032	carA	CDS	8190	6141	1002.50	844.50	31838.50	46188.50	36691	37601	26412	26323.50	18430.50	15924	11859.50	1007	6377.50	6520	35783	50345.50	16335.50	19677.50
b0033	carB	CDS	14098	10528	1708.50	1753.50	77244.50	94172.50	88486	83165	59621	57964.50	39530.50	32023	27401.50	1880	15262.50	15762	75088	102261.50	26508.50	40229.50
b0034	caiF	CDS	132	125	67	39	939	1415	1381	1444	528	534	920	830	276	32	234	216	915	1532	588	511
b0035	caiE	CDS	31.50	31.50	33.50	7.50	57.50	53	35.50	39.50	35.50	24	44.50	32	17	34	22.50	12	54.50	54	38	24.50
b0036	caiD	CDS	50.50	21.50	33.50	42.50	61.50	46	73.50	64.50	32.50	41	42.50	54	24	16	14.50	20	86.50	76	52	31.50
b0037	caiC	CDS	109	147	111	62	366	409	381	327	173.50	218	435	348.50	198.50	98	197	163	384.50	385.50	340	247
b0038	caiB	CDS	53	72	114	109	295	217	183	184	134.50	162	194	216.50	171.50	113	126	110	289.50	223.50	220	212
b0039	caiA	CDS	95	80	230	123	357	267	328.50	267.50	228	210.50	284	281.50	179	139	162	167	375	402	287	187
b0040	caiT	CDS	13	16	12	16	21	9	10.50	13.50	23	14.50	20	28.50	24	10	16	16	21	26	13	15
b0041	fixA	CDS	15	12	21	5	5	13	5	11	11	5.50	12	3	13	11	11	6.50	8.50	10.50	4	10
b0042	fixB	CDS	6.50	20	11	20	11	12.50	13	11	7.50	3.50	17	13	7.50	10	10	11	12.50	10.50	13	12
b0043	fixC	CDS	18.50	13	9	0	15	19	10	10	10.50	9	18	16	15.50	14	11	13.50	12	17	12	10.50
b0044	fixX	CDS	0	1	0	0	2	0.50	1	0.50	4	0	3	2.50	1	1	3	4	4	4	4.50	1.50
b0045	yaaU	CDS	8	9	26	37	17	11	10	8.50	25	15	25	20.50	15	9	11	21	16	14	29.50	21
b0046	kefF	CDS	175.50	189.50	88.50	45	101	92.50	89	119	76.50	73.50	112	123.50	106	72	107.50	95.50	136.50	133	82.50	94
b0047	kefC	CDS	980.50	972.50	280.50	251	557	479.50	470	560	403.50	365.50	520	509.50	601	268	418.50	515.50	538.50	476	393.50	437
b0048	folA	CDS	708	684	1778	1109	722	1506	1189	1066	908	956	1342	1296	942	1510	1007	944	778	1402	939	640
b0049	apaH	CDS	1093.50	1197	518	459	1174	861	833.50	865.50	746.50	737.50	1205.50	1106.50	1194	525	1186	1150.50	1066	825	905	876
b0050	apaG	CDS	1243	1256.50	974.50	793	1881.50	1391	1278.50	1241.50	1214.50	1270	1631	1377.50	1540	1041.50	1415	1268	1919	1406	1498.50	1191.50
