Gene_name,Poor_M9_ATC5.rep1,Poor_M9_ATC5.rep2,Rich_LB_ATC12.rep1,Rich_LB_ATC12.rep2,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_ATC5_CAM1.2.rep1,Rich_M9_ATC5_CAM1.2.rep2,Rich_M9_ATC5_NOX.rep1,Rich_M9_ATC5_NOX.rep2,Rich_M9_ATC5_PH5.rep1,Rich_M9_ATC5_PH5.rep2,Rich_M9_ATC5_TMP.rep1,Rich_M9_ATC5_TMP.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
thrL,315.5,263.5,610,322,267,175,179,144,327,250,527,469.5,620,340,232,206,241,192,313,175
thrA,29477.5,23851.5,2783,2529,3369,2435,2506.5,2460,4512.5,4324,3802.5,3088.5,2262.5,2925.5,2052,2022.5,2786.5,2670,2611,3666.5
thrB,8501.5,7490.5,979.5,890,1423.5,935,1016.5,1073.5,1694.5,1585.5,1416.5,1188,1002,1138.5,826.5,837,1238.5,992,1064.5,1518
thrC,12488.5,11076.5,1496.5,1473,2512.5,1520,1824,1635.5,2531,2477.5,2242,1923,1692.5,1643,1364.5,1347.5,2035,1722,2114.5,2933.5
yaaX,214,183,156,96,247,151,147,114,123,152,106,87,84,106,71,80,252,119,139,132
yaaA,698,701.5,762.5,746,561,657.5,583,675,761.5,644.5,1930,2200,720.5,772,1053,961.5,521.5,730.5,803,717
yaaJ,231,233.5,228.5,116,318,176.5,269,284,112.5,120.5,235,209,155.5,127,396,374.5,295.5,275.5,619,409
talB,12234,11509,19026,15682,10930,13476,13339,14300,14545,14106,13790,12259,17163,19400,14218,13902,10705,14082,16916,15972
mog,567,426,1232,1151,989,764,741,736,945,919,801,726,914,1297,849,751,991,758,802,789
satP,251,210,779,520,422,1016,671,667,336,255,503,500,131,591,150,151,517,1173,357,178
yaaW,35,42,30.5,10.5,15,16.5,27,18.5,22,29,37.5,38.5,44.5,27,26.5,39,18,27,21,29
mbiA,3,4,4,10,10,3,0,5,3,8,10,11,8,4,6,5,7,3,5,2
yaaI,1,7,3.5,0.5,12,7.5,4,2.5,7,5,15.5,6.5,12.5,3,6.5,9,7,8,8,6
dnaK,6763,6532.5,26016.5,28788.5,6059.5,12969.5,11315,11337,11403.5,10532.5,13202.5,12848.5,16872,28550.5,10015.5,10014.5,6987,12366.5,7636.5,7615.5
dnaJ,1802,1941.5,5670.5,5930.5,2295.5,2948.5,2201,2115,3413.5,3021.5,3437.5,3234.5,3394,6430.5,2308.5,2431.5,2391,2607.5,1867.5,1803.5
insL-1,806.32,765.66,2054.97,1927.97,764.66,854.32,723.32,810.65,976.65,922.32,1109.82,990.65,900.99,2201.3,829.65,762.66,834.99,771.99,810.99,799.32
mokC,73.5,79,67.5,50,46,24.5,28,43,24.5,24.5,45.5,35.5,30,49.5,35.5,49.5,57.5,41.5,64,32
nhaA,2666.5,2912,1333.5,943.5,1960,1819.5,1825.5,1959.5,1117,1149,2044.5,1881.5,2080,1255.5,2405,2127,2112.5,2061,1453.5,1153.5
nhaR,1145.5,1129,470.5,375.5,956,791.5,661.5,752.5,559,568,879.5,780.5,954,490.5,969,916,1013.5,729,614.5,587.5
insB-1,33.08,27.06,58.56,38.87,166.03,45.7,45.64,32.76,61.45,53.55,85.6,76.26,74.44,58.71,61.93,56.11,171.93,53.6,64.84,49.95
insA-1,46.44,37.63,105.78,92.68,296.21,124.09,81.45,85.4,81.13,92.43,102.43,115.45,149.64,66.25,78.36,55.24,339.26,159.43,105.89,106.05
rpsT,12588,8493,65980,44772,26126,24409,19773,20524,24781,21691,23632,23907,27214,39284,15673,15363,33700,39197,20076,10180
yaaY,75,61,26.5,37.5,65.5,28,37.5,28,38,41.5,58,56.5,38.5,17,40,39,84,32.5,59.5,44.5
ribF,2466,2272,3013,2634.5,3235,2896,2672,2648.5,2792.5,2721.5,3549,3164,2932.5,2813,2733.5,2769,3567,3271,3197,2839.5
ileS,14489,13303.5,10594.5,10676.5,12824,13595,12789,13338,16500.5,15375,17187,14355,13236.5,11979.5,13121,12765,12431.5,12856,12024,13353.5
lspA,1943,2152.5,1840,1570.5,2258.5,2041,1730.5,1904.5,2417,2356,2531,2195.5,2024.5,2136.5,1940.5,1962,2109.5,2030.5,1849.5,1825.5
fkpB,1295,1137.5,1054,1077,1482,1214.5,960,1073.5,1390,1316,1457.5,1201,1448.5,1076,1288,1162.5,1558.5,1118.5,1098.5,1027
ispH,2159.5,1960.5,2063.5,1978.5,2486,1974.5,1776.5,1683.5,2597,2608,2352,2137.5,2355.5,2189.5,1934.5,1857.5,2428,1816,2001.5,2173
rihC,363.5,322,1154.5,1093.5,360,408,397.5,435,343,321,324.5,304.5,200,1406.5,276.5,319,428.5,367.5,678,671
dapB,2422,2411,1224,1034,1171,1123,1178,1285,1284,1226,1795,1521,1525,1221,1288,1282,1122,1284,1511,1323
carA,8190,6141,1002.5,844.5,31838.5,46188.5,36691,37601,26412,26323.5,18430.5,15924,11859.5,1007,6377.5,6520,35783,50345.5,16335.5,19677.5
carB,14098,10528,1708.5,1753.5,77244.5,94172.5,88486,83165,59621,57964.5,39530.5,32023,27401.5,1880,15262.5,15762,75088,102261.5,26508.5,40229.5
caiF,132,125,67,39,939,1415,1381,1444,528,534,920,830,276,32,234,216,915,1532,588,511
caiE,31.5,31.5,33.5,7.5,57.5,53,35.5,39.5,35.5,24,44.5,32,17,34,22.5,12,54.5,54,38,24.5
caiD,50.5,21.5,33.5,42.5,61.5,46,73.5,64.5,32.5,41,42.5,54,24,16,14.5,20,86.5,76,52,31.5
caiC,109,147,111,62,366,409,381,327,173.5,218,435,348.5,198.5,98,197,163,384.5,385.5,340,247
caiB,53,72,114,109,295,217,183,184,134.5,162,194,216.5,171.5,113,126,110,289.5,223.5,220,212
caiA,95,80,230,123,357,267,328.5,267.5,228,210.5,284,281.5,179,139,162,167,375,402,287,187
caiT,13,16,12,16,21,9,10.5,13.5,23,14.5,20,28.5,24,10,16,16,21,26,13,15
fixA,15,12,21,5,5,13,5,11,11,5.5,12,3,13,11,11,6.5,8.5,10.5,4,10
fixB,6.5,20,11,20,11,12.5,13,11,7.5,3.5,17,13,7.5,10,10,11,12.5,10.5,13,12
fixC,18.5,13,9,0,15,19,10,10,10.5,9,18,16,15.5,14,11,13.5,12,17,12,10.5
fixX,0,1,0,0,2,0.5,1,0.5,4,0,3,2.5,1,1,3,4,4,4,4.5,1.5
yaaU,8,9,26,37,17,11,10,8.5,25,15,25,20.5,15,9,11,21,16,14,29.5,21
kefF,175.5,189.5,88.5,45,101,92.5,89,119,76.5,73.5,112,123.5,106,72,107.5,95.5,136.5,133,82.5,94
kefC,980.5,972.5,280.5,251,557,479.5,470,560,403.5,365.5,520,509.5,601,268,418.5,515.5,538.5,476,393.5,437
