Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b1259	yciG	CDS	132	10.59	7.10e-09	8.76e-10	1.73	6.13
b1493	gadB	CDS	5204	10.3	9.43e-17	3.68e-18	1.19	8.69
b1973	zinT	CDS	9722	10.1	2.98e-247	6.68e-251	0.3	33.83
b1258	yciF	CDS	140	9.91	4.42e-08	6.27e-09	1.71	5.81
b3517	gadA	CDS	4060	9.74	1.34e-16	5.34e-18	1.13	8.65
b4718	gadF	ncRNA	274	9.67	4.33e-07	7.39e-08	1.8	5.38
b4743	ynaL	CDS	39	9.61	3.75e-07	6.28e-08	1.78	5.41
b4107	yjdN	CDS	104	9.36	1.08e-12	7.39e-14	1.25	7.48
b1492	gadC	CDS	4268	9.11	3.40e-14	1.95e-15	1.15	7.94
b4506	ykgO	CDS	2576	8.76	5.15e-77	1.04e-79	0.46	18.9
b0953	rmf	CDS	4730	8.64	3.49e-19	1.00e-20	0.93	9.34
b1732	katE	CDS	1698	8.53	6.81e-15	3.45e-16	1.05	8.16
b3509	hdeB	CDS	8835	8.31	5.92e-15	2.96e-16	1.02	8.17
b0897	ycaC	CDS	841	8.21	6.81e-15	3.44e-16	1.01	8.16
b0594	entE	CDS	4286	8.17	7.18e-11	6.36e-12	1.19	6.87
b3512	gadE	CDS	1377	8.07	2.58e-09	2.94e-10	1.28	6.3
b3829	metE	CDS	7533	8.05	6.88e-28	8.95e-30	0.71	11.33
b0296	ykgM	CDS	1623	7.99	1.43e-119	9.66e-123	0.34	23.56
b1480	sra	CDS	2030	7.81	1.95e-13	1.25e-14	1.01	7.71
b4511	ybdZ	CDS	347	7.78	6.32e-09	7.73e-10	1.26	6.15
b0595	entB	CDS	3250	7.64	1.18e-09	1.26e-10	1.19	6.43
b2672	ygaM	CDS	1416	7.58	3.79e-17	1.41e-18	0.86	8.8
b2302	yfcG	CDS	154	7.5	1.18e-15	5.36e-17	0.9	8.38
b1443	ydcV	CDS	118	7.48	9.94e-18	3.41e-19	0.84	8.95
b0593	entC	CDS	3906	7.45	1.02e-10	9.30e-12	1.09	6.82
b0072	leuC	CDS	1553	7.39	5.57e-51	2.38e-53	0.48	15.38
b2097	fbaB	CDS	2075	7.38	2.94e-17	1.08e-18	0.84	8.83
b1784	yeaH	CDS	549	7.3	1.29e-13	7.97e-15	0.94	7.77
b4567	yjjZ	CDS	323	7.25	6.61e-08	9.61e-09	1.26	5.74
b3588	aldB	CDS	451	7.14	1.23e-96	1.93e-99	0.34	21.17
b0071	leuD	CDS	923	7.09	1.03e-58	3.71e-61	0.43	16.5
b0836	bssR	CDS	940	7.09	7.57e-15	3.89e-16	0.87	8.14
b3510	hdeA	CDS	22164	7.06	2.43e-10	2.31e-11	1.06	6.69
b0073	leuB	CDS	1369	6.95	1.24e-41	8.10e-44	0.5	13.88
b2752	cysD	CDS	5020	6.89	6.41e-09	7.88e-10	1.12	6.15
b4254	argI	CDS	268	6.85	1.01e-38	7.49e-41	0.51	13.38
b1783	yeaG	CDS	2410	6.84	2.11e-14	1.16e-15	0.85	8.01
b1003	yccJ	CDS	1474	6.8	8.03e-13	5.42e-14	0.9	7.52
b3073	patA	CDS	1388	6.76	1.55e-14	8.32e-16	0.84	8.05
b0586	entF	CDS	7255	6.73	3.66e-08	5.08e-09	1.15	5.84
b0074	leuA	CDS	1384	6.66	1.55e-36	1.35e-38	0.51	12.99
b2241	glpA	CDS	232	6.66	2.44e-49	1.15e-51	0.44	15.12
b0584	fepA	CDS	8545	6.64	1.93e-07	3.08e-08	1.2	5.54
b3508	yhiD	CDS	1215	6.63	4.71e-09	5.63e-10	1.07	6.2
b1441	ydcT	CDS	191	6.62	3.08e-41	2.07e-43	0.48	13.81
b4679	yohP	CDS	19	6.61	1.42e-06	2.70e-07	1.29	5.14
b2423	cysW	CDS	1989	6.58	1.02e-08	1.29e-09	1.08	6.07
b2155	cirA	CDS	17529	6.55	1.15e-08	1.48e-09	1.08	6.05
b2425	cysP	CDS	4335	6.55	3.06e-08	4.17e-09	1.11	5.88
b1444	patD	CDS	513	6.54	4.29e-37	3.56e-39	0.5	13.09
b3153	yhbO	CDS	45	6.54	1.29e-06	2.43e-07	1.27	5.16
b3506	slp	CDS	2654	6.53	1.17e-10	1.08e-11	0.96	6.8
b1188	ycgB	CDS	693	6.39	1.56e-15	7.24e-17	0.77	8.34
