Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b4718	gadF	ncRNA	274	8.37	3.93e-05	3.22e-06	1.8	4.66
b1258	yciF	CDS	140	8.31	1.55e-05	1.12e-06	1.71	4.87
b2725	hycA	CDS	265	8.1	1.28e-04	1.29e-05	1.86	4.36
b4244	pyrI	CDS	20285	8.08	1.22e-13	6.86e-16	1	8.07
b0972	hyaA	CDS	418	8.04	8.77e-08	2.62e-09	1.35	5.95
b4245	pyrB	CDS	29556	7.93	2.52e-12	2.04e-14	1.04	7.65
b1493	gadB	CDS	5204	7.65	6.01e-09	1.09e-10	1.19	6.45
b1259	yciG	CDS	132	7.62	1.07e-04	1.06e-05	1.73	4.41
b3512	gadE	CDS	1377	7.16	5.25e-07	2.20e-08	1.28	5.6
b2763	cysI	CDS	6769	6.96	2.32e-10	2.55e-12	0.99	7
b3509	hdeB	CDS	8835	6.91	7.75e-10	1.04e-11	1.02	6.8
b2752	cysD	CDS	5020	6.87	3.56e-08	8.79e-10	1.12	6.13
b3517	gadA	CDS	4060	6.86	4.42e-08	1.16e-09	1.13	6.09
b0450	glnK	CDS	202	6.67	2.79e-08	6.44e-10	1.08	6.18
b2423	cysW	CDS	1989	6.61	4.11e-08	1.05e-09	1.08	6.1
b2425	cysP	CDS	4335	6.58	1.11e-07	3.53e-09	1.11	5.9
b1492	gadC	CDS	4268	6.57	2.81e-07	1.04e-08	1.15	5.72
b1551	ynfN	CDS	37	6.45	7.20e-02	2.84e-02	2.94	2.19
b2574	nadB	CDS	2298	6.31	2.88e-09	4.58e-11	0.96	6.58
b1260	trpA	CDS	9287	6.27	1.69e-13	1.02e-15	0.78	8.02
b1589	ynfG	CDS	649	6.26	9.16e-15	4.11e-17	0.74	8.41
b4743	ynaL	CDS	39	6.25	2.56e-03	4.90e-04	1.79	3.49
b4749	ynfR	CDS	19	6.25	8.64e-02	3.59e-02	2.98	2.1
b2422	cysA	CDS	3833	6.23	1.26e-08	2.52e-10	0.99	6.33
b0973	hyaB	CDS	495	6.2	1.76e-06	8.86e-08	1.16	5.35
b2424	cysU	CDS	1782	6.19	1.07e-07	3.33e-09	1.05	5.91
b0336	codB	CDS	9663	6.17	1.62e-12	1.16e-14	0.8	7.72
b2764	cysJ	CDS	6828	6.17	6.27e-08	1.80e-09	1.03	6.01
b2762	cysH	CDS	2768	6.16	3.15e-09	5.08e-11	0.94	6.57
b4721	ytiD	CDS	59	6.14	1.82e-03	3.25e-04	1.71	3.59
b4724	ynfQ	CDS	267	6.07	8.84e-04	1.37e-04	1.59	3.81
b3510	hdeA	CDS	22164	6.04	2.83e-07	1.07e-08	1.06	5.72
b1264	trpE	CDS	6021	6.03	6.47e-11	6.39e-13	0.84	7.19
b1849	purT	CDS	3800	5.96	2.15e-12	1.59e-14	0.78	7.68
b0977	hyaF	CDS	433	5.91	4.05e-08	1.02e-09	0.97	6.11
b3508	yhiD	CDS	1215	5.9	7.76e-07	3.39e-08	1.07	5.52
b2750	cysC	CDS	1200	5.89	4.26e-07	1.73e-08	1.04	5.64
b3506	slp	CDS	2654	5.83	4.62e-08	1.25e-09	0.96	6.07
b0897	ycaC	CDS	841	5.8	2.36e-07	8.57e-09	1.01	5.76
b1261	trpB	CDS	8383	5.8	1.38e-12	9.63e-15	0.75	7.74
b2751	cysN	CDS	4625	5.78	3.56e-08	8.72e-10	0.94	6.13
b0976	hyaE	CDS	150	5.76	1.96e-07	6.85e-09	0.99	5.79
b1588	ynfF	CDS	2536	5.73	2.52e-12	2.00e-14	0.75	7.65
b1729	tcyP	CDS	12917	5.69	3.42e-10	3.92e-12	0.82	6.94
b0594	entE	CDS	4286	5.62	2.90e-05	2.27e-06	1.19	4.73
b1263	trpD	CDS	4009	5.62	1.37e-07	4.49e-09	0.96	5.86
b4720	ytiC	CDS	9	5.57	7.64e-03	1.83e-03	1.79	3.12
b1988	nac	CDS	405	5.49	3.19e-07	1.23e-08	0.96	5.7
b1732	katE	CDS	1698	5.43	3.85e-06	2.12e-07	1.05	5.19
b2366	dsdA	CDS	3265	5.43	3.60e-24	4.04e-27	0.5	10.79
b1003	yccJ	CDS	1474	5.4	8.16e-08	2.42e-09	0.9	5.97
b0033	carB	CDS	43488	5.38	2.99e-12	2.48e-14	0.71	7.62
b0836	bssR	CDS	940	5.37	3.12e-08	7.40e-10	0.87	6.16
b2013	yeeE	CDS	3441	5.34	1.57e-06	7.78e-08	0.99	5.37
b0595	entB	CDS	3250	5.28	9.03e-05	8.78e-06	1.19	4.45
b3507	dctR	CDS	183	5.28	1.64e-04	1.74e-05	1.23	4.3
b1784	yeaH	CDS	549	5.23	6.37e-07	2.75e-08	0.94	5.56
b0750	nadA	CDS	2984	5.2	1.02e-08	1.94e-10	0.82	6.37
b0032	carA	CDS	20241	5.18	1.04e-12	7.00e-15	0.67	7.78
b3513	mdtE	CDS	603	5.15	1.33e-05	9.15e-07	1.05	4.91
b2672	ygaM	CDS	1416	5.1	1.07e-07	3.34e-09	0.86	5.91
b4107	yjdN	CDS	104	5.04	4.65e-04	6.40e-05	1.26	4
b0593	entC	CDS	3906	5.03	4.74e-05	4.07e-06	1.09	4.61
b2302	yfcG	CDS	154	5.03	5.25e-07	2.19e-08	0.9	5.6
b1552	cspI	CDS	289	5.02	8.08e-03	1.97e-03	1.62	3.1
b4430	rydB	ncRNA	336	5.02	1.18e-06	5.66e-08	0.92	5.43
b4006	purH	CDS	8664	4.99	4.11e-08	1.06e-09	0.82	6.1
b0337	codA	CDS	13133	4.95	8.79e-12	8.09e-14	0.66	7.47
b1747	astA	CDS	224	4.94	1.14e-06	5.37e-08	0.91	5.44
b1455	yncH	CDS	4	4.91	2.73e-02	8.65e-03	1.87	2.63
b1257	yciE	CDS	210	4.89	1.78e-06	8.99e-08	0.91	5.35
b2499	purM	CDS	9197	4.87	1.78e-08	3.71e-10	0.78	6.27
b4005	purD	CDS	8082	4.86	3.84e-09	6.47e-11	0.74	6.53
b1744	astE	CDS	54	4.85	1.45e-05	1.02e-06	0.99	4.89
b0978	appC	CDS	1486	4.84	1.25e-05	8.50e-07	0.98	4.92
b0751	pnuC	CDS	2116	4.77	2.07e-08	4.60e-10	0.77	6.23
b3511	hdeD	CDS	3777	4.75	1.21e-05	8.09e-07	0.96	4.93
b1565	ydfV	CDS	4	4.73	3.70e-02	1.25e-02	1.89	2.5
b2056	wcaD	CDS	12	4.7	1.03e-02	2.62e-03	1.56	3.01
b0974	hyaC	CDS	280	4.68	3.42e-06	1.83e-07	0.9	5.22
b3153	yhbO	CDS	45	4.66	1.49e-03	2.55e-04	1.27	3.66
b4567	yjjZ	CDS	323	4.62	1.53e-03	2.63e-04	1.27	3.65
b0584	fepA	CDS	8545	4.6	8.24e-04	1.25e-04	1.2	3.84
b1544	ydfK	CDS	392	4.6	4.51e-04	6.12e-05	1.15	4.01
b2012	yeeD	CDS	2345	4.58	7.57e-06	4.65e-07	0.91	5.04
b0979	appB	CDS	1163	4.57	3.93e-05	3.20e-06	0.98	4.66
b1004	wrbA	CDS	2002	4.56	1.25e-06	6.02e-08	0.84	5.42
b2557	purL	CDS	21256	4.56	2.44e-08	5.59e-10	0.74	6.2
b2476	purC	CDS	9360	4.54	4.65e-07	1.91e-08	0.81	5.62
b2155	cirA	CDS	17529	4.53	2.47e-04	2.98e-05	1.08	4.17
b4511	ybdZ	CDS	347	4.49	2.15e-03	3.99e-04	1.27	3.54
b3061	ttdA	CDS	10	4.48	1.33e-02	3.59e-03	1.54	2.91
b1375	ynaE	CDS	455	4.42	7.20e-04	1.07e-04	1.14	3.87
b2097	fbaB	CDS	2075	4.41	2.59e-06	1.36e-07	0.84	5.27
b3161	mtr	CDS	10327	4.4	3.23e-07	1.25e-08	0.77	5.69
b1987	cbl	CDS	622	4.38	4.42e-08	1.15e-09	0.72	6.09
b1587	ynfE	CDS	354	4.37	3.52e-10	4.12e-12	0.63	6.93
b1783	yeaG	CDS	2410	4.37	5.41e-06	3.13e-07	0.85	5.12
b1262	trpC	CDS	4838	4.35	8.12e-07	3.63e-08	0.79	5.51
b0707	ybgA	CDS	253	4.34	6.20e-05	5.67e-06	0.96	4.54
b4757	ysdD	CDS	6	4.34	3.11e-02	1.02e-02	1.69	2.57
b0485	glsA	CDS	383	4.3	4.77e-05	4.13e-06	0.93	4.6
b0034	caiF	CDS	635	4.28	3.74e-10	4.53e-12	0.62	6.92
b0804	ybiX	CDS	732	4.26	4.04e-04	5.42e-05	1.05	4.04
b1590	ynfH	CDS	1331	4.24	4.39e-09	7.69e-11	0.65	6.51
b1748	astC	CDS	283	4.23	9.31e-05	9.08e-06	0.95	4.44
b0586	entF	CDS	7255	4.21	1.48e-03	2.53e-04	1.15	3.66
b0805	fiu	CDS	5700	4.21	2.05e-03	3.73e-04	1.18	3.56
b4583	phnE	pseudo	3	4.18	4.14e-02	1.44e-02	1.71	2.45
b2312	purF	CDS	8461	4.17	2.80e-09	4.40e-11	0.63	6.59
b1010	rutC	CDS	4	4.16	4.12e-02	1.42e-02	1.7	2.45
b2579	grcA	CDS	38509	4.13	1.76e-07	5.95e-09	0.71	5.82
b3990	thiH	CDS	2827	4.13	4.65e-05	3.98e-06	0.9	4.61
b2464	talA	CDS	1085	4.1	1.76e-05	1.29e-06	0.85	4.84
b1265	trpL	CDS	43	4.08	3.63e-04	4.78e-05	1	4.07
b3654	xanP	CDS	4534	4.07	1.60e-07	5.35e-09	0.7	5.84
b1541	ydfZ	CDS	1951	4.06	3.15e-03	6.24e-04	1.19	3.42
