Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b4649	ysaD	pseudo	1	4.65	 NA	1.09e-01	2.9	1.6
b4445	omrB	ncRNA	7	3.98	3.78e-01	3.69e-02	1.91	2.09
b4704	arrS	ncRNA	3	3.92	5.55e-01	1.16e-01	2.5	1.57
b3577	yiaM	CDS	1	3.63	 NA	3.72e-01	4.07	0.89
b2851	ygeG	CDS	2	3.61	 NA	6.32e-02	1.95	1.86
b2724	hycB	CDS	200	3.44	6.97e-02	8.89e-04	1.04	3.32
b2006	yeeW	CDS	5	3.33	5.07e-01	7.89e-02	1.9	1.76
b0563	tfaX	CDS	4	3.24	5.45e-01	1.05e-01	2	1.62
b0549	ybcO	CDS	2	2.99	 NA	1.01e-01	1.83	1.64
b2725	hycA	CDS	265	2.73	3.14e-01	1.99e-02	1.17	2.33
b2650	ypjC	CDS	1	2.66	 NA	2.76e-01	2.44	1.09
b4746	yddY	CDS	4	2.65	6.67e-01	1.96e-01	2.05	1.29
b3901	rhaM	CDS	5	2.54	3.92e-01	3.91e-02	1.23	2.06
b4545	ypdJ	CDS	2	2.52	 NA	1.59e-01	1.78	1.41
b2376	ypdI	CDS	3	2.39	6.76e-01	2.05e-01	1.89	1.27
b4132	cadB	CDS	178	2.36	6.97e-02	8.45e-04	0.71	3.34
b2723	hycC	CDS	403	2.32	4.00e-02	3.66e-04	0.65	3.56
b2940	yqgC	CDS	4	2.29	3.80e-01	3.73e-02	1.1	2.08
b1115	ycfT	CDS	10	2.23	1.70e-01	4.59e-03	0.79	2.83
b2850	ygeF	pseudo	2	2.22	7.22e-01	2.76e-01	2.04	1.09
b4131	cadA	CDS	426	2.2	1.18e-01	2.25e-03	0.72	3.06
b1351	racC	CDS	5	2.19	4.85e-01	6.91e-02	1.2	1.82
b0375	iprA	CDS	5	2.14	3.68e-01	3.34e-02	1.01	2.13
b2713	hydN	CDS	347	2.13	1.75e-02	4.99e-05	0.53	4.06
b1319	ompG	CDS	7	2.1	5.39e-01	9.48e-02	1.26	1.67
b0294	ecpR	CDS	12	2.01	5.82e-01	1.35e-01	1.34	1.49
b0972	hyaA	CDS	418	1.99	4.67e-01	6.06e-02	1.06	1.88
b2054	wcaF	CDS	3	1.97	6.85e-01	2.18e-01	1.6	1.23
b4115	adiC	CDS	188	1.97	2.09e-01	7.68e-03	0.74	2.67
b0559	ybcW	CDS	36	1.93	1.31e-01	2.75e-03	0.65	2.99
b4116	adiY	CDS	136	1.87	3.74e-01	3.51e-02	0.89	2.11
b4117	adiA	CDS	155	1.86	1.75e-02	5.21e-05	0.46	4.05
b2721	hycE	CDS	442	1.84	2.01e-01	7.04e-03	0.68	2.69
b0978	appC	CDS	1486	1.83	4.67e-01	6.06e-02	0.97	1.88
b2483	hyfC	CDS	4	1.83	6.47e-01	1.81e-01	1.37	1.34
b0247	ykfG	CDS	2	1.78	 NA	4.37e-01	2.29	0.78
b0973	hyaB	CDS	495	1.77	5.45e-01	1.05e-01	1.09	1.62
b1346	xisR	CDS	2	1.75	 NA	3.72e-01	1.96	0.89
b3491	yhiM	CDS	364	1.75	3.64e-01	3.13e-02	0.81	2.15
b4592	appX	CDS	178	1.71	4.59e-01	5.79e-02	0.9	1.9
b4509	ylcG	CDS	1	1.7	 NA	5.38e-01	2.76	0.62
b0322	yahH	CDS	7	1.69	5.07e-01	7.79e-02	0.96	1.76
b3060	ttdR	CDS	70	1.69	1.75e-01	5.39e-03	0.61	2.78
b4718	gadF	ncRNA	274	1.68	5.77e-01	1.32e-01	1.11	1.51
b0548	ninE	CDS	1	1.66	 NA	6.80e-01	4.02	0.41
b4455	hokA	CDS	1	1.66	 NA	6.47e-01	3.61	0.46
b4647	mokA	pseudo	1	1.66	 NA	6.47e-01	3.61	0.46
b2726	hypA	CDS	58	1.63	3.00e-01	1.72e-02	0.69	2.38
b3512	gadE	CDS	1377	1.61	6.53e-01	1.87e-01	1.22	1.32
b4701	sokX	ncRNA	0	1.61	 NA	8.12e-01	6.76	0.24
b4745	yncO	CDS	0	1.61	 NA	8.12e-01	6.76	0.24
b3506	slp	CDS	2654	1.6	5.19e-01	8.88e-02	0.94	1.7
b1541	ydfZ	CDS	1951	1.59	6.47e-01	1.79e-01	1.18	1.34
b0974	hyaC	CDS	280	1.58	4.72e-01	6.27e-02	0.85	1.86
b1499	ydeO	CDS	14	1.58	3.37e-01	2.35e-02	0.7	2.26
b2722	hycD	CDS	168	1.58	1.73e-01	4.78e-03	0.56	2.82
b3513	mdtE	CDS	603	1.58	5.52e-01	1.14e-01	1	1.58
b0061	araD	CDS	13	1.56	4.86e-01	7.01e-02	0.86	1.81
b0979	appB	CDS	1163	1.56	5.47e-01	1.08e-01	0.97	1.61
b2454	eutJ	CDS	8	1.55	5.52e-01	1.14e-01	0.98	1.58
b4238	nrdD	CDS	2835	1.55	1.94e-01	6.53e-03	0.57	2.72
b1146	ymfT	CDS	27	1.51	2.52e-01	1.24e-02	0.61	2.5
b2719	hycG	CDS	194	1.51	3.24e-01	2.16e-02	0.66	2.3
b0980	appA	CDS	696	1.47	4.48e-01	5.45e-02	0.76	1.92
b2362	yfdS	CDS	2	1.47	8.00e-01	3.72e-01	1.65	0.89
b3517	gadA	CDS	4060	1.46	6.51e-01	1.84e-01	1.1	1.33
b0975	hyaD	CDS	373	1.45	5.39e-01	9.56e-02	0.87	1.67
b0769	ybhH	CDS	6	1.44	7.31e-01	2.84e-01	1.34	1.07
b3510	hdeA	CDS	22164	1.44	6.39e-01	1.72e-01	1.05	1.36
b4068	yjcH	CDS	94	1.43	3.54e-01	2.78e-02	0.65	2.2
