Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b1973	zinT	CDS	9722	10.83	3.17e-261	7.11e-265	0.31	34.77
b0296	ykgM	CDS	1623	10.74	9.58e-114	8.60e-117	0.47	22.97
b4506	ykgO	CDS	2576	10.37	1.99e-91	4.47e-94	0.5	20.58
b3829	metE	CDS	7533	8.55	2.34e-31	2.83e-33	0.71	12.02
b4069	acs	CDS	1082	7.85	1.34e-42	8.70e-45	0.56	14.04
b3460	livJ	CDS	2328	7.63	3.53e-43	2.06e-45	0.54	14.14
b3927	glpF	CDS	1725	7.59	1.64e-27	2.54e-29	0.67	11.24
b1415	aldA	CDS	3818	7.41	2.22e-24	4.39e-26	0.7	10.56
b3426	glpD	CDS	4013	7.12	1.25e-23	2.61e-25	0.68	10.4
b3926	glpK	CDS	4505	7.05	2.01e-54	7.22e-57	0.44	15.89
b2150	mglB	CDS	1039	6.87	1.29e-11	8.24e-13	0.96	7.16
b2149	mglA	CDS	599	6.67	2.63e-09	2.28e-10	1.05	6.34
b2675	nrdE	CDS	1744	6.58	1.64e-16	5.96e-18	0.76	8.63
b2674	nrdI	CDS	594	6.5	1.38e-15	5.77e-17	0.78	8.37
b2676	nrdF	CDS	687	6.47	3.43e-14	1.64e-15	0.81	7.97
b2240	glpT	CDS	578	6.41	4.74e-15	2.05e-16	0.78	8.22
b4068	yjcH	CDS	94	6.14	1.04e-42	6.55e-45	0.44	14.06
b3774	ilvC	CDS	2723	6.12	4.49e-111	8.06e-114	0.27	22.67
b2241	glpA	CDS	232	6.1	9.17e-47	4.73e-49	0.41	14.72
b1857	znuA	CDS	7560	6.06	4.75e-133	3.20e-136	0.24	24.84
b4254	argI	CDS	268	6.05	8.99e-34	8.47e-36	0.48	12.49
b0074	leuA	CDS	1384	6.02	2.10e-30	2.73e-32	0.51	11.83
b2673	nrdH	CDS	278	5.98	1.28e-18	3.79e-20	0.65	9.19
b3941	metF	CDS	631	5.97	4.87e-29	6.55e-31	0.52	11.56
b4067	actP	CDS	442	5.94	2.49e-34	2.29e-36	0.47	12.59
b4671	ykgR	CDS	3	5.94	2.70e-03	8.14e-04	1.77	3.35
b3846	fadB	CDS	200	5.91	9.15e-17	3.22e-18	0.68	8.7
b2148	mglC	CDS	503	5.87	6.37e-07	8.00e-08	1.09	5.37
b0071	leuD	CDS	923	5.84	5.46e-43	3.30e-45	0.41	14.11
b0072	leuC	CDS	1553	5.84	1.66e-33	1.64e-35	0.47	12.44
b3707	tnaC	CDS	2	5.73	8.02e-02	4.12e-02	2.81	2.04
b0598	cstA	CDS	3238	5.71	3.96e-12	2.42e-13	0.78	7.32
b0073	leuB	CDS	1369	5.69	5.45e-29	7.46e-31	0.49	11.55
b3523	yhjE	CDS	759	5.66	1.77e-100	3.58e-103	0.26	21.57
b1259	yciG	CDS	132	5.58	4.49e-07	5.45e-08	1.03	5.44
b4594	ymgJ	CDS	3	5.55	7.47e-03	2.54e-03	1.84	3.02
b3457	livH	CDS	345	5.51	1.78e-111	2.80e-114	0.24	22.72
b2979	glcD	CDS	132	5.49	4.49e-22	1.13e-23	0.55	10.03
b2242	glpB	CDS	135	5.44	5.39e-26	8.94e-28	0.5	10.92
b0596	entA	CDS	2228	5.39	5.21e-05	9.49e-06	1.22	4.43
b1441	ydcT	CDS	191	5.38	1.44e-34	1.29e-36	0.43	12.64
b0597	entH	CDS	1308	5.37	2.48e-05	4.17e-06	1.17	4.6
b1440	ydcS	CDS	413	5.35	2.78e-19	8.00e-21	0.57	9.36
b4730	yahV	CDS	3	5.35	5.43e-02	2.59e-02	2.4	2.23
b0805	fiu	CDS	5700	5.32	3.89e-05	6.83e-06	1.18	4.5
b0586	entF	CDS	7255	5.25	2.87e-05	4.90e-06	1.15	4.57
b3451	ugpE	CDS	60	5.19	2.44e-22	6.02e-24	0.51	10.09
b0595	entB	CDS	3250	5.15	6.38e-05	1.19e-05	1.18	4.38
b4468	glcE	CDS	76	5.15	4.87e-42	3.28e-44	0.37	13.95
b3455	livG	CDS	326	5.11	4.78e-113	5.36e-116	0.22	22.89
b3458	livK	CDS	674	5.1	3.10e-90	7.66e-93	0.25	20.44
b3588	aldB	CDS	451	5.09	4.19e-72	1.13e-74	0.28	18.28
b2058	wcaB	CDS	4	5.03	9.98e-03	3.54e-03	1.72	2.92
b3958	argC	CDS	286	4.99	2.28e-28	3.33e-30	0.44	11.42
b3454	livF	CDS	336	4.98	1.14e-56	3.84e-59	0.31	16.22
b0953	rmf	CDS	4730	4.96	5.47e-07	6.76e-08	0.92	5.4
b2849	yqeK	CDS	3	4.94	1.66e-02	6.52e-03	1.81	2.72
b0854	potF	CDS	516	4.93	1.02e-15	4.18e-17	0.59	8.41
b0594	entE	CDS	4286	4.91	1.48e-04	3.02e-05	1.18	4.17
b4755	yqhI	CDS	15	4.89	2.93e-08	2.97e-09	0.82	5.93
b1038	csgF	CDS	55	4.88	3.55e-18	1.09e-19	0.54	9.08
b3073	patA	CDS	1388	4.85	6.02e-08	6.28e-09	0.83	5.81
b0584	fepA	CDS	8545	4.84	2.40e-04	5.17e-05	1.2	4.05
b0855	potG	CDS	231	4.84	2.45e-16	9.13e-18	0.56	8.58
b1178	pliG	CDS	464	4.81	6.95e-14	3.41e-15	0.61	7.87
b2243	glpC	CDS	105	4.81	1.41e-31	1.55e-33	0.4	12.07
b3456	livM	CDS	557	4.81	7.85e-143	3.52e-146	0.19	25.75
b3453	ugpB	CDS	278	4.75	1.33e-62	3.89e-65	0.28	17.04
b0331	prpB	CDS	22	4.74	9.27e-09	8.74e-10	0.77	6.13
b2537	hcaR	CDS	290	4.74	1.43e-12	8.46e-14	0.63	7.46
b4684	yqfG	CDS	2	4.73	1.06e-01	5.74e-02	2.49	1.9
b2310	argT	CDS	1230	4.71	9.92e-23	2.34e-24	0.46	10.18
b2844	yqeF	CDS	834	4.71	3.53e-12	2.14e-13	0.64	7.34
b1039	csgE	CDS	73	4.67	5.73e-15	2.51e-16	0.57	8.2
b1102	fhuE	CDS	1683	4.66	2.17e-05	3.60e-06	1	4.63
b1388	paaA	CDS	8	4.66	7.70e-04	1.98e-04	1.25	3.72
b2975	glcA	CDS	138	4.66	4.03e-23	8.95e-25	0.45	10.28
b4567	yjjZ	CDS	323	4.66	2.96e-04	6.56e-05	1.17	3.99
b2155	cirA	CDS	17529	4.64	9.30e-05	1.78e-05	1.08	4.29
b3670	ilvN	CDS	279	4.64	2.10e-08	2.08e-09	0.77	5.99
b4511	ybdZ	CDS	347	4.63	2.59e-04	5.63e-05	1.15	4.03
b1974	yodB	CDS	88	4.62	1.12e-12	6.45e-14	0.62	7.5
b1384	feaR	CDS	128	4.59	1.63e-12	9.72e-14	0.62	7.44
b1040	csgD	CDS	230	4.58	2.30e-14	1.08e-15	0.57	8.02
b2166	psuK	CDS	18	4.58	2.08e-03	5.98e-04	1.33	3.43
b0583	entD	CDS	674	4.57	3.71e-04	8.56e-05	1.16	3.93
b1423	ydcJ	CDS	192	4.56	9.61e-13	5.48e-14	0.61	7.52
b1443	ydcV	CDS	118	4.54	4.57e-10	3.60e-11	0.69	6.62
b4015	aceA	CDS	13287	4.53	6.71e-11	4.57e-12	0.66	6.92
b0593	entC	CDS	3906	4.52	1.42e-04	2.87e-05	1.08	4.18
b3566	xylF	CDS	25	4.51	8.54e-14	4.25e-15	0.58	7.85
b0140	yadV	CDS	5	4.49	1.64e-02	6.41e-03	1.65	2.73
b4683	yqeL	CDS	2	4.49	1.16e-01	6.40e-02	2.42	1.85
b0804	ybiX	CDS	732	4.46	7.91e-05	1.50e-05	1.03	4.33
b2818	argA	CDS	455	4.46	7.25e-46	3.90e-48	0.31	14.58
b0273	argF	CDS	529	4.44	4.18e-23	9.39e-25	0.43	10.27
b2659	csiD	CDS	173	4.36	9.86e-19	2.90e-20	0.47	9.22
b4107	yjdN	CDS	104	4.31	3.86e-08	3.97e-09	0.73	5.89
b4013	metA	CDS	258	4.3	1.48e-25	2.65e-27	0.4	10.82
b3708	tnaA	CDS	254	4.28	2.04e-05	3.33e-06	0.92	4.65
b0333	prpC	CDS	14	4.26	7.19e-10	5.82e-11	0.65	6.55
b0880	cspD	CDS	2109	4.24	1.82e-48	8.97e-51	0.28	14.99
b1452	yncE	CDS	9117	4.22	1.35e-05	2.12e-06	0.89	4.74
b4299	yjhI	CDS	13	4.21	2.16e-05	3.57e-06	0.91	4.64
b1495	yddB	CDS	186	4.18	1.14e-12	6.61e-14	0.56	7.5
b3452	ugpA	CDS	55	4.18	4.12e-15	1.76e-16	0.51	8.24
b0330	prpR	CDS	59	4.17	1.15e-22	2.79e-24	0.41	10.17
b1444	patD	CDS	513	4.17	3.32e-17	1.12e-18	0.47	8.82
b2273	yfbN	CDS	11	4.16	3.50e-03	1.09e-03	1.27	3.27
b0221	fadE	CDS	326	4.14	1.76e-37	1.34e-39	0.31	13.17
b1856	mepM	CDS	3459	4.14	3.30e-31	4.07e-33	0.35	11.99
b1683	sufB	CDS	1124	4.12	1.33e-07	1.46e-08	0.73	5.67
b3081	fadH	CDS	103	4.12	5.74e-15	2.52e-16	0.5	8.19
b1496	yddA	CDS	86	4.11	1.26e-06	1.66e-07	0.78	5.23
b4658	yghX	pseudo	169	4.08	4.93e-08	5.09e-09	0.7	5.84
b1581	rspA	CDS	36	4.07	4.32e-10	3.39e-11	0.61	6.63
b3544	dppA	CDS	3846	4.05	5.58e-23	1.29e-24	0.4	10.24
b1478	adhP	CDS	1418	4.04	3.83e-10	2.97e-11	0.61	6.65
b4016	aceK	CDS	3043	4.04	5.35e-08	5.53e-09	0.69	5.83
b1490	dosC	CDS	216	4.03	5.23e-07	6.42e-08	0.75	5.41
b0856	potH	CDS	110	4.02	5.50e-14	2.69e-15	0.51	7.9
b4706	iroK	CDS	12	4	4.56e-05	8.15e-06	0.9	4.46
b2135	yohC	CDS	133	3.99	6.85e-09	6.31e-10	0.65	6.18
b3845	fadA	CDS	136	3.99	2.90e-15	1.22e-16	0.48	8.28
b1929	yedE	CDS	538	3.96	1.13e-09	9.37e-11	0.61	6.48
b0075	leuL	CDS	19	3.92	1.13e-05	1.74e-06	0.82	4.78
b4534	ynfP	CDS	1	3.92	4.03e-01	2.92e-01	3.73	1.05
b0078	ilvH	CDS	345	3.91	2.61e-11	1.70e-12	0.55	7.06
b1681	sufD	CDS	918	3.9	3.20e-06	4.54e-07	0.77	5.04
b2461	eutP	CDS	2	3.9	4.24e-02	1.94e-02	1.67	2.34
b2239	glpQ	CDS	688	3.89	3.61e-17	1.23e-18	0.44	8.81
b1450	mcbR	CDS	116	3.86	2.98e-06	4.21e-07	0.76	5.06
b0585	fes	CDS	1583	3.84	8.35e-05	1.59e-05	0.89	4.32
b2854	pbl	pseudo	1	3.84	9.96e-02	5.31e-02	1.99	1.93
b2941	yqgD	CDS	4	3.84	1.08e-01	5.85e-02	2.03	1.89
b1041	csgB	CDS	5	3.81	9.69e-03	3.43e-03	1.3	2.93
b1056	yceI	CDS	292	3.81	9.18e-13	5.19e-14	0.51	7.53
b1682	sufC	CDS	522	3.81	2.06e-05	3.36e-06	0.82	4.65
b4424	rdlC	ncRNA	8	3.78	1.47e-02	5.65e-03	1.37	2.77
b0077	ilvI	CDS	1033	3.75	1.27e-13	6.60e-15	0.48	7.79
b1801	yeaV	CDS	10	3.72	6.40e-05	1.19e-05	0.85	4.38
b4024	lysC	CDS	1041	3.72	5.65e-26	9.51e-28	0.34	10.92
b0587	fepE	CDS	50	3.71	4.66e-03	1.49e-03	1.17	3.18
b1680	sufS	CDS	807	3.7	7.26e-06	1.10e-06	0.76	4.87
b2702	srlA	CDS	41	3.7	5.29e-03	1.73e-03	1.18	3.13
b3671	ilvB	CDS	1502	3.7	5.05e-06	7.42e-07	0.75	4.95
b1390	paaC	CDS	9	3.66	1.17e-03	3.14e-04	1.02	3.6
b4746	yddY	CDS	4	3.66	3.05e-02	1.32e-02	1.48	2.48
b0857	potI	CDS	147	3.65	4.37e-16	1.72e-17	0.43	8.51
b1258	yciF	CDS	140	3.65	7.82e-04	2.02e-04	0.98	3.72
b0860	artJ	CDS	563	3.64	4.91e-16	1.95e-17	0.43	8.5
b1489	dosP	CDS	269	3.64	3.14e-07	3.72e-08	0.66	5.5
b1442	ydcU	CDS	118	3.63	4.32e-15	1.86e-16	0.44	8.23
b0334	prpD	CDS	21	3.62	1.22e-05	1.89e-06	0.76	4.76
b1352	kilR	CDS	1	3.62	5.12e-01	3.95e-01	4.26	0.85
b4636	ybfI	pseudo	1	3.61	5.19e-01	4.02e-01	4.32	0.84
b4749	ynfR	CDS	19	3.61	3.65e-01	2.57e-01	3.19	1.13
b1503	ydeR	CDS	5	3.6	1.45e-02	5.52e-03	1.3	2.77
b3723	bglG	CDS	11	3.59	3.37e-03	1.05e-03	1.1	3.28
b1482	osmC	CDS	1788	3.58	1.46e-07	1.61e-08	0.63	5.65
b3959	argB	CDS	241	3.58	7.28e-25	1.39e-26	0.34	10.67
b4311	nanC	CDS	7	3.58	1.46e-02	5.61e-03	1.29	2.77
b4512	ybdD	CDS	206	3.56	1.20e-16	4.27e-18	0.41	8.67
b1930	yedF	CDS	243	3.54	3.40e-06	4.85e-07	0.7	5.03
b3908	sodA	CDS	11804	3.49	1.65e-07	1.83e-08	0.62	5.63
b0803	ybiI	CDS	279	3.43	2.85e-03	8.64e-04	1.03	3.33
b0112	aroP	CDS	866	3.42	6.29e-54	2.54e-56	0.22	15.81
b4014	aceB	CDS	10655	3.42	3.51e-08	3.57e-09	0.58	5.9
b4268	idnK	CDS	22	3.42	4.56e-04	1.08e-04	0.88	3.87
b1679	sufE	CDS	282	3.41	7.36e-05	1.39e-05	0.79	4.35
b1690	ydiM	CDS	5	3.39	1.38e-02	5.23e-03	1.21	2.79
b4747	yneP	CDS	1	3.36	2.74e-01	1.80e-01	2.5	1.34
b0218	yafU	pseudo	3	3.35	1.45e-01	8.36e-02	1.94	1.73
b1018	efeO	CDS	1949	3.32	2.99e-05	5.13e-06	0.73	4.56
b1422	ydcI	CDS	879	3.32	7.52e-13	4.19e-14	0.44	7.56
b0260	mmuP	CDS	107	3.31	1.42e-10	1.03e-11	0.49	6.8
b2247	rhmD	CDS	16	3.3	1.07e-06	1.40e-07	0.63	5.27
b2341	fadJ	CDS	356	3.3	9.23e-13	5.24e-14	0.44	7.53
b3709	tnaB	CDS	46	3.3	2.34e-04	5.00e-05	0.81	4.06
b3830	ysgA	CDS	627	3.3	3.94e-06	5.69e-07	0.66	5
b1019	efeB	CDS	1353	3.27	1.97e-04	4.11e-05	0.8	4.1
b2660	lhgO	CDS	199	3.27	6.12e-07	7.67e-08	0.61	5.37
b1037	csgG	CDS	203	3.26	4.92e-25	9.17e-27	0.3	10.71
b1257	yciE	CDS	210	3.25	5.33e-04	1.30e-04	0.85	3.83
b1615	uidC	CDS	14	3.25	1.60e-05	2.54e-06	0.69	4.7
b1684	sufA	CDS	254	3.25	2.49e-04	5.41e-05	0.8	4.04
b2870	ygeW	CDS	6	3.25	4.52e-03	1.44e-03	1.02	3.19
b3543	dppB	CDS	303	3.25	1.31e-08	1.26e-09	0.53	6.07
b4735	ybgU	CDS	52	3.25	7.53e-04	1.93e-04	0.87	3.73
b0720	gltA	CDS	5140	3.24	1.53e-14	7.08e-16	0.4	8.07
b0346	mhpR	CDS	140	3.23	4.61e-17	1.59e-18	0.37	8.78
b4490	efeU	pseudo	1232	3.23	2.00e-05	3.24e-06	0.69	4.65
b4292	fecR	CDS	1454	3.22	2.61e-05	4.41e-06	0.7	4.59
b0390	aroM	CDS	674	3.21	9.99e-13	5.72e-14	0.43	7.51
b1487	ddpA	CDS	117	3.21	1.01e-06	1.32e-07	0.61	5.28
b4488	ilvG	pseudo	1860	3.19	7.78e-13	4.37e-14	0.42	7.55
b1008	rutE	CDS	4	3.17	8.85e-02	4.64e-02	1.59	1.99
b3143	yraI	CDS	3	3.17	1.47e-01	8.44e-02	1.84	1.73
b0592	fepB	CDS	946	3.16	1.98e-05	3.20e-06	0.68	4.66
b1188	ycgB	CDS	693	3.15	1.35e-04	2.69e-05	0.75	4.2
b3268	yhdW	pseudo	144	3.14	3.30e-06	4.69e-07	0.62	5.04
b4305	sgcX	CDS	32	3.14	2.40e-10	1.80e-11	0.47	6.72
b4679	yohP	CDS	19	3.14	5.75e-04	1.42e-04	0.82	3.8
b1020	phoH	CDS	316	3.13	1.25e-05	1.96e-06	0.66	4.76
b1486	ddpB	CDS	44	3.12	7.70e-08	8.19e-09	0.54	5.76
b0723	sdhA	CDS	4115	3.11	5.80e-07	7.18e-08	0.58	5.39
b1488	ddpX	CDS	42	3.11	7.52e-04	1.92e-04	0.83	3.73
b1761	gdhA	CDS	2842	3.1	2.95e-20	8.15e-22	0.32	9.6
b1580	rspB	CDS	38	3.09	1.90e-07	2.15e-08	0.55	5.6
b1057	yceJ	CDS	21	3.08	3.75e-05	6.56e-06	0.68	4.51
b0326	yahL	CDS	9	3.07	3.14e-02	1.37e-02	1.25	2.47
b0286	paoA	CDS	26	3.06	4.10e-05	7.23e-06	0.68	4.49
