Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b0805	fiu	CDS	5700	6.94	2.35e-07	4.26e-09	1.18	5.87
b2155	cirA	CDS	17529	5.72	4.47e-06	1.26e-07	1.08	5.28
b0804	ybiX	CDS	732	5.71	1.30e-06	3.14e-08	1.03	5.53
b0584	fepA	CDS	8545	5.68	5.21e-05	2.03e-06	1.2	4.75
b0596	entA	CDS	2228	5.5	1.35e-04	6.14e-06	1.22	4.52
b0597	entH	CDS	1308	5.36	1.02e-04	4.40e-06	1.17	4.59
b0595	entB	CDS	3250	5.23	1.82e-04	8.87e-06	1.18	4.44
b0586	entF	CDS	7255	5.13	1.66e-04	7.90e-06	1.15	4.47
b0583	entD	CDS	674	5.08	2.41e-04	1.26e-05	1.16	4.37
b0594	entE	CDS	4286	5	3.72e-04	2.11e-05	1.18	4.25
b0593	entC	CDS	3906	4.95	1.06e-04	4.64e-06	1.08	4.58
b2675	nrdE	CDS	1744	4.95	7.62e-09	8.71e-11	0.76	6.49
b2676	nrdF	CDS	687	4.91	1.08e-07	1.60e-09	0.81	6.03
b2674	nrdI	CDS	594	4.89	2.58e-08	3.07e-10	0.78	6.3
b4654	yjdQ	pseudo	6	4.85	1.15e-01	2.05e-02	2.09	2.32
b2058	wcaB	CDS	4	4.71	5.05e-02	6.97e-03	1.75	2.7
b4511	ybdZ	CDS	347	4.39	1.87e-03	1.35e-04	1.15	3.82
b1102	fhuE	CDS	1683	4.32	3.04e-04	1.68e-05	1	4.3
b2673	nrdH	CDS	278	4.3	3.90e-09	4.28e-11	0.65	6.59
b0803	ybiI	CDS	279	4.29	4.97e-04	2.95e-05	1.03	4.18
b4102	phnF	CDS	2	4.19	 NA	1.15e-01	2.66	1.57
b1452	yncE	CDS	9117	4.18	6.41e-05	2.58e-06	0.89	4.7
b3908	sodA	CDS	11804	4.11	3.17e-09	3.34e-11	0.62	6.63
b0598	cstA	CDS	3238	4.09	5.17e-06	1.53e-07	0.78	5.25
b2941	yqgD	CDS	4	4	2.11e-01	5.01e-02	2.04	1.96
b0587	fepE	CDS	50	3.99	7.04e-03	6.35e-04	1.17	3.42
b0585	fes	CDS	1583	3.95	1.89e-04	9.27e-06	0.89	4.43
b4567	yjjZ	CDS	323	3.84	1.03e-02	9.94e-04	1.17	3.29
b0140	yadV	CDS	5	3.73	1.49e-01	2.99e-02	1.72	2.17
b4047	yjbL	CDS	2	3.73	 NA	7.98e-02	2.13	1.75
b4733	ylcJ	CDS	2	3.73	1.92e-01	4.38e-02	1.85	2.02
b1019	efeB	CDS	1353	3.72	7.53e-05	3.07e-06	0.8	4.67
b4730	yahV	CDS	3	3.71	3.83e-01	1.33e-01	2.47	1.5
b0588	fepC	CDS	761	3.67	1.89e-03	1.37e-04	0.96	3.81
b3264	envR	CDS	4	3.67	2.11e-01	5.04e-02	1.88	1.96
b4735	ybgU	CDS	52	3.67	4.50e-04	2.63e-05	0.87	4.2
b2273	yfbN	CDS	11	3.65	3.66e-02	4.57e-03	1.29	2.84
b1018	efeO	CDS	1949	3.64	1.76e-05	6.01e-07	0.73	4.99
b1496	yddA	CDS	86	3.6	1.07e-04	4.70e-06	0.79	4.58
b1495	yddB	CDS	186	3.43	6.77e-08	8.84e-10	0.56	6.13
b4749	ynfR	CDS	19	3.43	5.82e-01	2.87e-01	3.21	1.07
b0721	sdhC	CDS	2137	3.41	6.72e-06	2.06e-07	0.66	5.19
b3682	glvB	CDS	5	3.4	2.10e-01	4.94e-02	1.73	1.96
