Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b4458	oxyS	ncRNA	4	6.9	 NA	3.64e-05	1.67	4.13
b4749	ynfR	CDS	19	5.29	4.18e-01	9.32e-02	3.15	1.68
b2674	nrdI	CDS	594	4.91	4.78e-08	2.73e-10	0.78	6.31
b0245	ykfI	CDS	2	4.83	 NA	6.05e-03	1.76	2.75
b4594	ymgJ	CDS	3	4.83	 NA	9.41e-03	1.86	2.6
b2673	nrdH	CDS	278	4.73	1.43e-10	3.75e-13	0.65	7.26
b2058	wcaB	CDS	4	4.59	 NA	8.33e-03	1.74	2.64
b4642	yoeD	pseudo	4	4.11	 NA	2.75e-02	1.86	2.2
b4684	yqfG	CDS	2	4.11	 NA	1.01e-01	2.51	1.64
b2675	nrdE	CDS	1744	4.03	1.08e-05	1.28e-07	0.76	5.28
b2941	yqgD	CDS	4	3.96	 NA	5.10e-02	2.03	1.95
b4654	yjdQ	pseudo	6	3.96	 NA	6.12e-02	2.12	1.87
b4683	yqeL	CDS	2	3.93	 NA	1.08e-01	2.45	1.61
b4567	yjjZ	CDS	323	3.86	2.11e-02	9.39e-04	1.17	3.31
b2723	hycC	CDS	403	3.85	2.00e-07	1.28e-09	0.63	6.07
b2722	hycD	CDS	168	3.75	6.44e-10	2.15e-12	0.53	7.02
b2849	yqeK	CDS	3	3.73	 NA	4.62e-02	1.87	1.99
b4632	ylbI	pseudo	2	3.7	 NA	6.45e-02	2	1.85
b0849	grxA	CDS	579	3.68	3.29e-07	2.74e-09	0.62	5.95
b2721	hycE	CDS	442	3.65	5.29e-06	6.04e-08	0.67	5.42
b4644	ypjI	pseudo	1	3.65	 NA	2.21e-01	2.98	1.22
b2720	hycF	CDS	140	3.61	8.85e-05	1.30e-06	0.75	4.84
b1142	ymfH	CDS	60	3.53	3.61e-06	3.79e-08	0.64	5.5
b2003	yeeT	CDS	1	3.51	 NA	2.60e-01	3.12	1.13
b4612	yrhD	CDS	1	3.46	 NA	1.99e-01	2.7	1.28
b0140	yadV	CDS	5	3.45	 NA	4.47e-02	1.72	2.01
b0218	yafU	pseudo	3	3.43	 NA	7.75e-02	1.94	1.77
b0606	ahpF	CDS	6302	3.42	1.21e-52	2.87e-56	0.22	15.8
b2719	hycG	CDS	194	3.33	1.51e-05	1.94e-07	0.64	5.2
b2582	trxC	CDS	660	3.3	2.11e-42	1.00e-45	0.23	14.19
b1496	yddA	CDS	86	3.29	1.24e-03	2.99e-05	0.79	4.17
b2273	yfbN	CDS	11	3.21	1.35e-01	1.30e-02	1.29	2.48
b2357	yfdN	CDS	1	3.19	 NA	3.21e-01	3.22	0.99
b4604	yojO	CDS	1	3.19	 NA	2.44e-01	2.74	1.16
b0572	cusC	CDS	11	3.18	6.30e-04	1.35e-05	0.73	4.35
b2222	atoA	CDS	1	3.18	 NA	1.78e-01	2.36	1.35
b1954	dsrA	ncRNA	1	3.16	 NA	1.75e-01	2.33	1.36
b2718	hycH	CDS	151	3.16	8.36e-09	3.98e-11	0.48	6.6
b3682	glvB	CDS	5	3.15	 NA	6.92e-02	1.73	1.82
b2356	yfdM	CDS	1	3.13	 NA	3.78e-01	3.55	0.88
b4424	rdlC	ncRNA	8	3.13	1.95e-01	2.33e-02	1.38	2.27
b2724	hycB	CDS	200	3.11	3.90e-02	2.04e-03	1.01	3.08
b0573	cusF	CDS	15	2.97	5.39e-05	7.44e-07	0.6	4.95
b1263	trpD	CDS	4009	2.97	3.56e-02	1.81e-03	0.95	3.12
b4451	ryhB	ncRNA	15	2.96	1.08e-02	4.03e-04	0.84	3.54
b1102	fhuE	CDS	1683	2.93	5.69e-02	3.60e-03	1.01	2.91
b4365	yjjQ	CDS	7	2.93	 NA	2.64e-02	1.32	2.22
b0593	entC	CDS	3906	2.92	8.92e-02	6.95e-03	1.08	2.7
b4311	nanC	CDS	7	2.92	2.07e-01	2.55e-02	1.31	2.23
b2713	hydN	CDS	347	2.91	1.47e-06	1.47e-08	0.51	5.66
b4079	fdhF	CDS	3215	2.85	8.73e-08	5.23e-10	0.46	6.21
b1556	essQ	CDS	17	2.81	5.78e-01	1.87e-01	2.13	1.32
b1157	stfE	pseudo	6	2.8	 NA	3.41e-02	1.32	2.12
b0584	fepA	CDS	8545	2.79	1.74e-01	1.97e-02	1.2	2.33
b2649	ypjB	CDS	10	2.78	1.18e-01	1.05e-02	1.08	2.56
b2717	hycI	CDS	274	2.78	1.04e-12	1.36e-15	0.35	7.99
b4586	ykfM	CDS	6	2.74	 NA	6.32e-02	1.47	1.86
b4608	ohsC	ncRNA	2	2.71	 NA	3.20e-01	2.73	0.99
b2854	pbl	pseudo	1	2.7	 NA	1.95e-01	2.08	1.3
b0585	fes	CDS	1583	2.66	4.86e-02	2.84e-03	0.89	2.98
b4738	ymgK	CDS	1	2.65	 NA	4.85e-01	3.79	0.7
b4731	ykiC	CDS	0	2.64	 NA	6.92e-01	6.67	0.4
b4292	fecR	CDS	1454	2.62	6.14e-03	1.90e-04	0.7	3.73
b3723	bglG	CDS	11	2.5	2.08e-01	2.60e-02	1.12	2.23
b4724	ynfQ	CDS	267	2.5	4.73e-01	1.18e-01	1.6	1.56
b1265	trpL	CDS	43	2.49	9.91e-03	3.44e-04	0.69	3.58
b3143	yraI	CDS	3	2.49	 NA	1.82e-01	1.87	1.33
b2461	eutP	CDS	2	2.48	 NA	1.50e-01	1.73	1.44
b0075	leuL	CDS	19	2.47	4.99e-02	3.01e-03	0.83	2.97
b0588	fepC	CDS	761	2.45	1.20e-01	1.08e-02	0.96	2.55
b0594	entE	CDS	4286	2.45	2.54e-01	3.72e-02	1.18	2.08
b0805	fiu	CDS	5700	2.44	2.64e-01	3.91e-02	1.18	2.06
b2725	hycA	CDS	265	2.42	2.56e-01	3.77e-02	1.16	2.08
b1264	trpE	CDS	6021	2.4	5.79e-02	3.71e-03	0.83	2.9
b0554	essD	CDS	56	2.37	2.04e-05	2.67e-07	0.46	5.15
b4511	ybdZ	CDS	347	2.37	2.65e-01	3.93e-02	1.15	2.06
b3994	thiC	CDS	5274	2.33	8.53e-02	6.51e-03	0.86	2.72
