Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b4601	ydgU	CDS	107	10.88	9.79e-05	4.96e-06	2.38	4.57
b1597	asr	CDS	2970	9.67	1.51e-08	2.22e-10	1.52	6.35
b3547	yhjX	CDS	2765	7.51	6.99e-23	3.26e-26	0.71	10.59
b2149	mglA	CDS	599	7.05	1.66e-09	2.02e-11	1.05	6.7
b2148	mglC	CDS	503	6.9	1.86e-08	2.78e-10	1.09	6.31
b2150	mglB	CDS	1039	6.6	5.43e-10	6.21e-12	0.96	6.87
b4240	treB	CDS	1983	6.02	9.41e-07	2.37e-08	1.08	5.58
b4239	treC	CDS	1389	5.71	6.89e-06	2.27e-07	1.1	5.18
b4035	malK	CDS	1622	5.29	1.07e-04	5.56e-06	1.16	4.54
b0140	yadV	CDS	5	5.27	9.93e-03	1.24e-03	1.63	3.23
b3707	tnaC	CDS	2	4.89	 NA	8.32e-02	2.83	1.73
b2168	fruK	CDS	2846	4.78	4.31e-05	1.84e-06	1	4.77
b4642	yoeD	pseudo	4	4.78	 NA	9.53e-03	1.84	2.59
b2169	fruB	CDS	2837	4.76	6.69e-05	3.13e-06	1.02	4.66
b2941	yqgD	CDS	4	4.76	 NA	1.77e-02	2.01	2.37
b2167	fruA	CDS	7889	4.58	7.73e-05	3.75e-06	0.99	4.62
b3079	ygjJ	CDS	9	4.55	1.14e-02	1.45e-03	1.43	3.18
b0218	yafU	pseudo	3	4.48	 NA	1.79e-02	1.89	2.37
b2849	yqeK	CDS	3	4.4	 NA	1.71e-02	1.85	2.38
b2702	srlA	CDS	41	4.39	2.14e-03	1.99e-04	1.18	3.72
b4747	yneP	CDS	1	4.39	 NA	7.57e-02	2.47	1.78
b2166	psuK	CDS	18	4.37	8.98e-03	1.10e-03	1.34	3.26
b4033	malF	CDS	823	4.25	3.53e-04	2.15e-05	1	4.25
b4612	yrhD	CDS	1	4.25	 NA	1.12e-01	2.67	1.59
b4671	ykgR	CDS	3	4.2	 NA	2.20e-02	1.83	2.29
b1797	yeaR	CDS	37	4.14	4.57e-05	1.98e-06	0.87	4.76
b3708	tnaA	CDS	254	4.09	1.69e-04	9.29e-06	0.92	4.43
b4047	yjbL	CDS	2	4.04	 NA	5.54e-02	2.11	1.92
b3603	lldP	CDS	735	4.01	3.46e-06	1.03e-07	0.75	5.32
b4444	omrA	ncRNA	32	4.01	3.30e-03	3.34e-04	1.12	3.59
b4733	ylcJ	CDS	2	3.95	 NA	3.14e-02	1.83	2.15
