Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b1142	ymfH	CDS	60	6.44	1.09e-21	1.71e-24	0.63	10.21
b0140	yadV	CDS	5	5.45	8.07e-03	8.08e-04	1.63	3.35
b2675	nrdE	CDS	1744	5.28	4.10e-10	4.23e-12	0.76	6.93
b2676	nrdF	CDS	687	5.22	8.88e-09	1.36e-10	0.81	6.42
b2058	wcaB	CDS	4	5.18	2.13e-02	2.70e-03	1.73	3
b2674	nrdI	CDS	594	5	8.24e-09	1.24e-10	0.78	6.43
b0596	entA	CDS	2228	4.84	1.04e-03	6.99e-05	1.22	3.98
b0805	fiu	CDS	5700	4.84	7.19e-04	4.20e-05	1.18	4.1
b0597	entH	CDS	1308	4.79	7.01e-04	4.02e-05	1.17	4.11
b2849	yqeK	CDS	3	4.74	5.76e-02	9.59e-03	1.83	2.59
b2941	yqgD	CDS	4	4.74	9.18e-02	1.80e-02	2	2.37
b4567	yjjZ	CDS	323	4.74	8.08e-04	4.86e-05	1.17	4.06
b0586	entF	CDS	7255	4.7	7.34e-04	4.33e-05	1.15	4.09
b0595	entB	CDS	3250	4.61	1.29e-03	9.05e-05	1.18	3.91
b4749	ynfR	CDS	19	4.59	3.81e-01	1.47e-01	3.17	1.45
b2155	cirA	CDS	17529	4.53	5.29e-04	2.85e-05	1.08	4.19
b1154	ycfK	CDS	8	4.52	2.03e-03	1.53e-04	1.19	3.79
b4577	sgrS	ncRNA	49	4.51	1.68e-17	5.65e-20	0.49	9.15
b4662	sgrT	CDS	48	4.49	2.35e-16	1.00e-18	0.51	8.83
b2673	nrdH	CDS	278	4.47	6.62e-10	7.27e-12	0.65	6.85
b1157	stfE	pseudo	6	4.44	6.33e-03	6.05e-04	1.29	3.43
b4733	ylcJ	CDS	2	4.44	7.46e-02	1.37e-02	1.8	2.46
b0594	entE	CDS	4286	4.35	2.70e-03	2.19e-04	1.18	3.7
b1167	ymgC	CDS	20	4.32	9.07e-10	1.02e-11	0.63	6.8
b3264	envR	CDS	4	4.3	1.01e-01	2.10e-02	1.86	2.31
b4365	yjjQ	CDS	7	4.28	9.26e-03	9.64e-04	1.3	3.3
b0584	fepA	CDS	8545	4.22	4.68e-03	4.17e-04	1.2	3.53
b2273	yfbN	CDS	11	4.22	9.21e-03	9.55e-04	1.28	3.3
b4511	ybdZ	CDS	347	4.22	2.93e-03	2.43e-04	1.15	3.67
b1452	yncE	CDS	9117	4.17	7.28e-05	2.87e-06	0.89	4.68
b0533	sfmH	CDS	6	4.16	6.16e-03	5.85e-04	1.21	3.44
b3723	bglG	CDS	11	4.11	2.24e-03	1.71e-04	1.09	3.76
b4594	ymgJ	CDS	3	4.08	1.35e-01	3.13e-02	1.9	2.15
b0593	entC	CDS	3906	4.05	2.28e-03	1.78e-04	1.08	3.75
b1165	ymgA	CDS	52	4.01	1.22e-15	5.47e-18	0.46	8.64
b0804	ybiX	CDS	732	3.97	1.64e-03	1.19e-04	1.03	3.85
b3994	thiC	CDS	5274	3.94	1.02e-04	4.28e-06	0.86	4.6
b1150	ymfR	CDS	9	3.93	4.52e-05	1.71e-06	0.82	4.78
b4652	yibU	pseudo	2	3.92	1.50e-01	3.61e-02	1.87	2.1
b0583	entD	CDS	674	3.9	8.13e-03	8.17e-04	1.16	3.35
b0326	yahL	CDS	9	3.87	1.52e-02	1.77e-03	1.24	3.13
b4632	ylbI	pseudo	2	3.86	1.93e-01	5.35e-02	2	1.93
b4642	yoeD	pseudo	4	3.86	1.61e-01	4.06e-02	1.88	2.05
b4730	yahV	CDS	3	3.86	3.27e-01	1.16e-01	2.45	1.57
b3993	thiE	CDS	1754	3.85	1.73e-04	8.02e-06	0.86	4.46
b4630	ykgP	pseudo	1	3.85	6.46e-01	3.73e-01	4.32	0.89
b0587	fepE	CDS	50	3.81	1.06e-02	1.13e-03	1.17	3.26
b1141	xisE	CDS	96	3.81	1.60e-22	1.79e-25	0.37	10.43
b3476	nikA	CDS	344	3.81	3.70e-07	8.14e-09	0.66	5.77
b1140	intE	CDS	362	3.8	1.21e-69	2.71e-73	0.21	18.11
b3908	sodA	CDS	11804	3.77	6.79e-08	1.22e-09	0.62	6.08
b4691	sroH	ncRNA	429	3.77	3.08e-04	1.53e-05	0.87	4.32
b3992	thiF	CDS	1727	3.75	5.84e-04	3.23e-05	0.9	4.16
b3991	thiG	CDS	1918	3.73	4.23e-04	2.17e-05	0.88	4.25
b3477	nikB	CDS	137	3.69	1.28e-05	4.21e-07	0.73	5.06
b1152	jayE	pseudo	35	3.68	1.02e-13	5.24e-16	0.45	8.11
b4407	thiS	CDS	474	3.6	8.23e-04	5.05e-05	0.89	4.05
b0245	ykfI	CDS	2	3.59	1.83e-01	4.94e-02	1.83	1.97
b0248	yafX	CDS	1	3.59	7.99e-01	5.79e-01	6.47	0.56
b1352	kilR	CDS	1	3.59	6.69e-01	4.00e-01	4.27	0.84
b2222	atoA	CDS	1	3.59	3.46e-01	1.26e-01	2.35	1.53
b4738	ymgK	CDS	1	3.59	6.17e-01	3.39e-01	3.75	0.96
b3990	thiH	CDS	2827	3.57	9.09e-04	5.87e-05	0.89	4.02
b1102	fhuE	CDS	1683	3.56	4.50e-03	3.99e-04	1.01	3.54
b1008	rutE	CDS	4	3.53	1.19e-01	2.62e-02	1.59	2.22
b4693	aaaE	pseudo	53	3.42	1.55e-23	1.39e-26	0.32	10.67
b3682	glvB	CDS	5	3.41	1.80e-01	4.84e-02	1.73	1.97
b1144	ymfJ	CDS	265	3.4	1.28e-39	5.74e-43	0.25	13.74
b1873	torY	CDS	18	3.39	1.62e-02	1.93e-03	1.09	3.1
b1029	ycdU	CDS	18	3.37	8.24e-06	2.53e-07	0.65	5.16
b0598	cstA	CDS	3238	3.34	3.61e-04	1.84e-05	0.78	4.28
b0585	fes	CDS	1583	3.32	2.40e-03	1.91e-04	0.89	3.73
b1149	ymfN	CDS	70	3.31	5.04e-28	3.39e-31	0.29	11.62
b4299	yjhI	CDS	13	3.3	3.99e-03	3.46e-04	0.92	3.58
